,case,note_names,periods_considered,threshold_exponent,tension_score,chord_label,normalized_tension_score
130,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",14,10**8,628082.9416439201,m3,0.008966560529433502
131,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",14,10**9,628082.9416439201,m3,0.008966560529433502
132,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",15,10**1,0.0,m3,0.0
133,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",15,10**10,628082.9416439201,m3,0.008966560529433502
134,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",15,10**11,628082.9416439201,m3,0.008966560529433502
135,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",15,10**12,628082.9416439201,m3,0.008966560529433502
136,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",15,10**2,0.0,m3,0.0
137,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",15,10**3,0.0,m3,0.0
138,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",15,10**4,0.0,m3,0.0
139,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",15,10**5,0.0,m3,0.0
140,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",15,10**6,628082.9416439201,m3,0.8730519168315343
141,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",15,10**7,628082.9416439201,m3,0.8730519168315343
142,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",15,10**8,628082.9416439201,m3,0.008966560529433502
143,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",15,10**9,628082.9416439201,m3,0.008966560529433502
144,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",16,10**1,0.0,m3,0.0
145,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",16,10**10,628082.9416439201,m3,0.008966560529433502
146,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",16,10**11,628082.9416439201,m3,0.008966560529433502
147,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",16,10**12,628082.9416439201,m3,0.008966560529433502
148,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",16,10**2,0.0,m3,0.0
149,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",16,10**3,0.0,m3,0.0
150,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",16,10**4,0.0,m3,0.0
151,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",16,10**5,0.0,m3,0.0
152,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",16,10**6,628082.9416439201,m3,0.8730519168315343
153,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",16,10**7,628082.9416439201,m3,0.8730519168315343
154,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",16,10**8,628082.9416439201,m3,0.008966560529433502
155,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",16,10**9,628082.9416439201,m3,0.008966560529433502
156,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",17,10**1,0.0,m3,0.0
157,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",17,10**10,628082.9416439201,m3,0.008966560529433502
158,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",17,10**11,628082.9416439201,m3,0.008966560529433502
159,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",17,10**12,628082.9416439201,m3,0.008966560529433502
160,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",17,10**2,0.0,m3,0.0
161,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",17,10**3,0.0,m3,0.0
162,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",17,10**4,0.0,m3,0.0
163,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",17,10**5,0.0,m3,0.0
164,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",17,10**6,628082.9416439201,m3,0.7589863389529009
165,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",17,10**7,628082.9416439201,m3,0.7589863389529009
166,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",17,10**8,628082.9416439201,m3,0.008966560529433502
167,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",17,10**9,628082.9416439201,m3,0.008966560529433502
168,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",18,10**1,0.0,m3,0.0
169,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",18,10**10,628082.9416439201,m3,0.008966560529433502
170,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",18,10**11,628082.9416439201,m3,0.008966560529433502
171,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",18,10**12,628082.9416439201,m3,0.008966560529433502
